name,geometry
New Architecture building,"POLYGON ((-174128.86278747473 744759.4440088107, -174129.56102747106 744762.9362822159, -174132.09679593876 744762.7185433113, -174132.3328778713 744764.8771709873, -174132.34918319318 744765.6840989823, -174132.14017247834 744767.053305854, -174131.93154190452 744768.2911612757, -174131.66780424298 744769.247385255, -174131.12440375544 744770.2215536981, -174130.66572758852 744770.9051184478, -174130.11363133523 744771.6634678408, -174129.63655896627 744772.2625376817, -174128.98218395436 744772.9361461456, -174127.8985599184 744773.7867599052, -174127.1792144313 744774.3663545141, -174125.95589470197 744775.1790292107, -174123.2694804113 744775.9217363298, -174121.94647734048 744769.3126966878, -174117.32177035854 744769.9371304865, -174115.56955717262 744769.9319910526, -174113.69854831742 744772.3283790655, -174112.7862468676 744771.9504099995, -174111.79824254452 744771.9662766473, -174111.2385367197 744772.1335168182, -174110.4360146889 744772.468926651, -174110.3606920001 744772.7314108966, -174109.68903413543 744772.9358519815, -174108.85189246418 744772.3516920955, -174109.1338908752 744771.5268744162, -174107.6089493929 744770.2839341055, -174110.77272950707 744765.6208152557, -174109.08018598997 744764.3210895768, -174107.90554874216 744757.9751916842, -174107.50567288982 744757.6644020195, -174107.01305592395 744757.1938407904, -174106.52092781191 744756.554399143, -174106.14974608785 744755.9903708663, -174105.68604052384 744755.1915130746, -174105.2882015692 744754.1770550265, -174105.15902124494 744753.7263245204, -174104.80800096973 744752.6369452345, -174104.53257495046 744751.1912593853, -174104.25812663272 744749.4078127793, -174104.09519576706 744747.7372812257, -174104.07878217698 744746.9678825464, -174104.0637808059 744745.7106072055, -174104.2352393083 744744.4351141782, -174104.64880776018 744743.2353899218, -174104.70587005865 744742.8414997371, -174100.6248075649 744723.0891254387, -174109.39205730837 744720.9756721314, -174110.01519072487 744724.6553691255, -174113.37146736306 744724.3274496315, -174112.74149046937 744723.0120771218, -174112.81909411142 744721.9614849223, -174113.898182154 744722.6777061671, -174112.98157906785 744717.345860412, -174115.03421174805 744716.6012951692, -174119.9218368964 744715.3021053558, -174120.77984517117 744715.1169753675, -174122.15924569944 744715.1210208783, -174122.82954511288 744715.3856916531, -174123.72211912068 744716.1388948879, -174124.1662338451 744717.2660756728, -174123.93983189395 744718.2036436214, -174123.22725503694 744719.6651956377, -174122.29077430582 744721.2011495644, -174121.72927686016 744721.9876176664, -174123.74780418628 744733.0271470825, -174125.4945854561 744734.908734494, -174127.42646901537 744737.2412162926, -174128.42849720397 744738.8203852611, -174129.6529087555 744740.8505579863, -174130.873084449 744744.3443608866, -174131.31589607068 744745.921890005, -174131.27405316586 744747.4979978008, -174131.27144642588 744748.3986933246, -174131.19319129857 744749.6744600016, -174131.15232589707 744750.9128070612, -174130.96179292563 744752.3383617147, -174130.91200610946 744752.6337589533, -174130.84580018622 744752.9666373392, -174130.74177006277 744753.4870513082, -174130.68507449405 744753.7542813127, -174130.5527848308 744754.3778179926, -174130.30763351865 744755.3528608981, -174128.86057960015 744759.4017818674, -174128.86278747473 744759.4440088107))"
Shed,"POLYGON ((-174184.9560846461 744540.4385334094, -174181.15821270604 744540.6479314348, -174180.3353431785 744534.8014866184, -174184.35101018698 744535.0337860085, -174184.9560846461 744540.4385334094))"
,"POLYGON ((-174204.06379940783 743757.3863882502, -174199.3829200998 743756.7427673454, -174201.02122785762 743744.2214151964, -174201.54782677977 743744.2214151964, -174202.42549165 743739.0724479576, -174206.87232699263 743739.6575578711, -174206.6967940186 743745.5671679975, -174205.46806320024 743749.5459154092, -174204.06379940783 743757.3863882502))"
,"POLYGON ((-174229.9110298367 743767.4356510144, -174223.82588673627 743767.4356510144, -174224.41099664976 743758.0153814071, -174224.7035516065 743758.0153814071, -174224.76206259787 743756.6111176147, -174224.41099664976 743756.5526066234, -174224.35248565843 743754.2706779607, -174248.98561301682 743755.2068538223, -174248.92710202548 743761.9941288189, -174230.1450738021 743761.6430628708, -174229.9110298367 743767.4356510144))"
,"POLYGON ((-174227.62910117404 743768.020760928, -174227.89240063512 743770.4782225648, -174221.9242795174 743770.9170549999, -174221.9242795174 743768.3718268762, -174227.62910117404 743768.020760928))"
,"POLYGON ((-174228.30197757456 743773.608560602, -174215.86839191266 743774.5154809679, -174215.75136992996 743771.9409973485, -174228.00942261782 743770.8000330172, -174228.30197757456 743773.608560602))"
"Water Research Center, KNUST","POLYGON ((-174317.32157499765 743772.4627203549, -174303.7275213406 743773.7499621647, -174303.55198836653 743772.4237130274, -174302.88886379788 743771.3510115193, -174302.069709919 743768.757024236, -174301.62112565196 743765.1878537637, -174301.66013297948 743763.0424507477, -174301.93318427244 743760.9750623868, -174302.17698006963 743760.7507702535, -174302.15747640585 743758.985688681, -174315.81004105447 743757.43514741, -174314.93237618418 743748.1904107765, -174314.15222963286 743745.3623795278, -174311.9288119615 743745.8304674586, -174310.4660371777 743746.0840150878, -174308.51567079936 743746.0450077602, -174308.47666347178 743748.8730390088, -174306.85785937772 743748.6389950435, -174303.85429515503 743747.8003375008, -174301.8844251129 743746.8446579754, -174299.7195184329 743745.3623795278, -174297.26205679605 743743.255983839, -174295.38970507283 743739.6673097028, -174294.59005485775 743737.9119799624, -174294.04395227178 743735.0059340586, -174294.12196692693 743732.080384491, -174294.08295959936 743731.0661939742, -174294.59005485766 743728.6672433289, -174295.44821606416 743726.3658110024, -174296.1113406328 743725.1565838478, -174297.94468502846 743722.4650782457, -174299.73902209656 743720.7877631603, -174302.39152037117 743719.0324334197, -174305.0050113182 743718.0572502306, -174305.2390552836 743717.9402282479, -174306.25324580036 743720.4366972122, -174308.43765614412 743719.9296019538, -174310.54405183275 743719.8515872987, -174313.3525794176 743720.2806679019, -174314.44478458952 743720.9437924705, -174315.96607036464 743721.450887729, -174317.91643674302 743722.8941588489, -174319.2426858803 743724.3764372965, -174320.1008470868 743725.3126131581, -174320.29588372464 743725.5466571235, -174324.07959449867 743722.8941588489, -174325.28882165314 743722.3090489353, -174325.79591691153 743722.3480562629, -174327.2781953591 743724.4544519515, -174327.55124665206 743726.7558842781, -174327.78529061747 743728.4331993634, -174327.7462832899 743729.8374631559, -174327.90231260017 743731.358748931, -174327.23918803153 743732.4119467754, -174327.2781953591 743734.6743717742, -174327.35621001423 743736.8977894456, -174327.66826863476 743739.7843316856, -174327.20018070395 743740.0963903061, -174326.02996087694 743739.7843316856, -174324.15760915368 743738.8091484964, -174322.75334536127 743738.575104531, -174321.85617682722 743741.1885954781, -174320.3348910521 743743.0219398737, -174318.50154665642 743744.8162769418, -174317.17529751913 743745.3623795278, -174316.86323889857 743745.5574161656, -174317.48735613967 743747.1957239234, -174323.14341863696 743747.0006872856, -174331.8420526845 743746.0255040964, -174331.9590746672 743747.1567165956, -174332.44666626176 743747.2542349147, -174333.32433113205 743748.8730390087, -174333.67539708017 743750.6868797406, -174333.79241906287 743752.4032021534, -174333.7534117353 743754.0025025837, -174333.55837509746 743754.7436418075, -174333.0512798391 743754.7046344798, -174333.07078350277 743756.9280521512, -174326.2542530103 743757.8739798449, -174326.22499751463 743760.1851640033, -174328.68245915137 743759.9511200378, -174329.56012402163 743767.0309499913, -174326.78085193245 743767.5575489135, -174326.9856404022 743769.9564995589, -174334.32876981678 743769.1373456799, -174334.41653630388 743770.7756534378, -174335.29420117414 743771.6533183081, -174335.70377811362 743773.7012030054, -174335.99633307036 743775.6320657199, -174336.34739901847 743777.5629284346, -174335.82080009632 743778.791659253, -174335.3527121655 743779.2597471838, -174335.62576345846 743780.4299670105, -174330.24275225415 743780.8590476137, -174318.6185686389 743782.4193407164, -174317.37033415673 743772.1214062386, -174317.32157499765 743772.4627203549))"
,"POLYGON ((-174350.13648931345 743803.249253637, -174346.9378884529 743803.1712389819, -174346.9378884529 743803.6393269127, -174346.9378884529 743807.1499863937, -174337.18605656104 743807.7741036349, -174336.8739979405 743800.362711397, -174349.90244534804 743799.19249157, -174350.13648931345 743803.249253637))"
,"POLYGON ((-174348.58594804228 743877.6362273087, -174353.30583467794 743877.597219981, -174354.0859812293 743877.870271274, -174357.32358941738 743877.7142419637, -174357.75267002062 743880.1326962729, -174357.59664071037 743882.9412238578, -174348.46892605958 743883.019238513, -174348.58594804228 743877.6362273087))"
,"POLYGON ((-174384.51169673196 743903.3225525105, -174381.05954824222 743887.407562863, -174380.1233723806 743887.3295482078, -174377.82194005413 743877.0706210575, -174378.7971232433 743877.0706210575, -174378.9531525536 743876.3684891614, -174390.85038746166 743874.2230861451, -174398.30078702708 743908.2764831117, -174385.83794586925 743909.8172725505, -174385.09680664548 743906.2285984143, -174383.18544759467 743906.4431387159, -174382.61984134495 743903.7711367776, -174384.51169673196 743903.3225525105))"
,"POLYGON ((-174258.10845174908 744018.3259060081, -174250.07294227017 744019.6521551454, -174250.6190448561 744023.3968585918, -174239.69699313722 744025.6592835907, -174239.77500779237 744027.6096499691, -174232.98773279562 744028.7018551411, -174232.2856008994 744027.2975913486, -174220.03730004322 744029.6380310027, -174217.7748750443 744017.4677448017, -174218.92071529137 744017.2678322474, -174218.59890483905 744014.9566480892, -174255.8118953391 744006.9991532651, -174254.29060956393 743999.0416584412, -174240.9501035356 744001.9672080089, -174239.86765019567 743999.421979885, -174238.33173667267 743999.6852793461, -174237.05400294135 743992.7893910148, -174238.50909864428 743992.7261259842, -174238.00297839977 743989.6894045173, -174264.44776117484 743984.6282020722, -174268.5599881614 744003.9873014244, -174305.47513349447 743996.6169253639, -174306.13941631536 743999.4005867087, -174307.08839177378 743999.0842615558, -174309.80878808795 744011.5474725765, -174297.97822737283 744014.1413388295, -174298.10475743396 744014.9005191963, -174290.7027488582 744016.6719400521, -174290.57621879707 744015.8494946548, -174279.50483844872 744017.7474455716, -174278.93545317368 744013.635218585, -174271.28038447566 744015.9127596853, -174272.48242005633 744023.8841535362, -174259.57635382167 744026.5412848197, -174258.10845174908 744018.3259060081))"
KNUST School Of Business(KSB Graduate Students Center),"POLYGON ((-174521.3979259729 743984.6589464654, -174527.95113901907 743944.7316381118, -174524.50563525254 743943.3129012667, -174507.07543972763 743977.4301444453, -174501.5356101422 743973.5117283971, -174499.77907881024 743977.2950266505, -174488.5643018446 743962.4996281236, -174490.25327427918 743960.8782145864, -174488.5643018446 743955.2032672062, -174517.14171543776 743937.0299238102, -174516.26344977177 743933.9222145305, -174503.69749485847 743935.2058335808, -174502.14364021865 743939.1918085264, -174503.35970037157 743940.0025152949, -174500.792462271 743943.177783472, -174497.5496351966 743945.6099037778, -174494.37436701957 743946.8935228281, -174491.4693344321 743947.4339940072, -174490.5910687661 743947.2988762123, -174490.32083317658 743945.1369914961, -174487.2806827943 743945.2721092908, -174484.24053241208 743943.6506957536, -174483.29470784872 743943.1102245746, -174482.68667777226 743942.9751067798, -174481.53817651674 743944.9343148039, -174478.56558503187 743943.0426656773, -174480.65991085075 743940.4078686793, -174479.64652739008 743938.3811017583, -174478.70070282673 743935.138274684, -174477.82243716074 743931.62521202, -174478.16023164766 743928.9228561247, -174479.37629180055 743926.0853824345, -174480.78658378345 743923.8306042346, -174480.95548102693 743923.5265891963, -174479.0300524515 743920.8917921984, -174481.56351110336 743918.6961280335, -174482.88090960233 743920.722894955, -174486.96822289404 743918.6961280335, -174490.2786088658 743918.3921129951, -174490.4137266606 743916.7031405607, -174495.6833206565 743917.648965124, -174499.66929560213 743919.945967635, -174500.68267906288 743921.0269099931, -174502.2365337027 743919.8784087376, -174505.34424298233 743922.7158824278, -174506.62786203262 743925.3506794256, -174503.0472404713 743927.8503586289, -174516.5927993966 743929.2859851982, -174517.06571167833 743927.022762136, -174487.47491462438 743909.5250077136, -174489.75502741104 743902.8704563213, -174488.5896364312 743901.8317382741, -174488.2096176334 743901.5783924089, -174492.28848606293 743894.9153961544, -174495.53131313733 743890.887196898, -174499.78752367248 743886.9603359875, -174501.4596063827 743889.569798399, -174506.3491815808 743886.6309863627, -174509.00931316527 743890.8618623114, -174526.84486207445 743921.8967307968, -174528.16226057342 743921.4913774125, -174520.25786957957 743879.7399788296, -174525.6288019215 743879.2332870992, -174525.83147861366 743879.030610407, -174539.20814029555 743879.1319487531, -174539.81617037198 743878.6252570228, -174552.99015536174 743883.2868209422, -174552.7874786696 743883.6921743265, -174562.81997493102 743889.9751517832, -174562.71863658493 743890.9885352439, -174567.58287719655 743895.2447457791, -174564.0360350839 743899.196941276, -174544.2750575993 743918.5525653763, -174547.5178846737 743925.3422345633, -174581.3648922628 743916.8298134931, -174581.97292233925 743930.2064751749, -174579.33812534128 743937.7055127844, -174579.33812534128 743938.7188962452, -174581.56756895492 743939.9349563981, -174581.7702456471 743944.5965203176, -174579.94615541774 743946.0152571626, -174547.51788467378 743938.8709037642, -174544.5790726376 743944.2925052792, -174566.8735087741 743968.512369991, -174560.80587530285 743973.921304213, -174557.56304822848 743975.1373643657, -174558.9817850735 743978.5828681323, -174549.35464219638 743982.7377403214, -174541.2475745104 743985.0685222811, -174536.3833338988 743985.9805673958, -174535.8766421684 743983.7511237821, -174526.14816094522 743984.1564771665, -174526.14816094522 743984.6631688968, -174521.89195041006 743983.9538004743, -174521.3979259729 743984.6589464654))"
Faculty of Arts,"POLYGON ((-174518.6491233355 743833.1623415146, -174503.6510481164 743833.7703715911, -174503.2456947321 743796.0725068512, -174502.23231127133 743796.2751835433, -174499.80019096556 743805.1929579979, -174491.49044658738 743802.1528076157, -174488.04494282085 743806.611694843, -174479.3298450584 743799.7206873099, -174474.4656044468 743793.4377098533, -174474.66828113896 743791.4109429318, -174478.5191382898 743789.7895293946, -174474.66828113896 743781.0744316321, -174484.19408567 743778.8449880185, -174484.5994390543 743777.0208977892, -174441.22662693422 743777.2235744812, -174441.83465701065 743761.8201458779, -174458.04879238264 743761.0094391092, -174458.6568224591 743745.2006571216, -174494.93595035395 743744.389950353, -174494.93595035395 743728.3784916732, -174511.55543911023 743728.175814981, -174511.55543911023 743749.862221041, -174519.0544767198 743748.8488375803, -174521.8919504099 743739.7283864336, -174543.7810331621 743717.4339502971, -174563.44067230064 743736.0802059749, -174548.23992038937 743752.6996947312, -174552.6988076167 743756.9559052662, -174552.90148430882 743768.5084767188, -174550.46936400302 743768.3058000266, -174550.67204069518 743783.5065519379, -174531.82310832525 743784.9252887829, -174531.62043163308 743821.0017399857, -174519.0544767198 743821.6097700621, -174518.6491233355 743833.1623415146))"
Center for Cedres and Rehabilitaion studies,"POLYGON ((-174408.39300280577 744173.2538309423, -174409.1628262776 744183.1357435267, -174382.97891561018 744186.8763021935, -174381.56008301242 744178.040844653, -174387.74329098102 744177.1057049863, -174387.62236774826 744176.202811515, -174371.2574235811 744178.959861222, -174367.96831164998 744177.121828084, -174366.130278512 744171.5754824746, -174366.47344966792 744165.2711004018, -174369.74185239716 744162.4981784687, -174385.9972283232 744160.7892143751, -174385.79455163106 744159.6744925682, -174379.30889748226 744160.4851993369, -174378.3112788255 744151.4216103478, -174405.35285242353 744147.3112143471, -174406.06222084604 744157.951740685, -174400.0532760761 744158.822112193, -174400.1983839554 744160.8052532104, -174403.680973059 744160.5392220983, -174405.15017573137 744171.1257256747, -174402.00868700305 744171.6324174051, -174402.00868700305 744174.0645377109, -174408.39300280577 744173.2538309423))"
KNUST School Of Medicine And Dentistry(SMS)Lecture Block,"POLYGON ((-174645.47406344835 744397.1609065953, -174595.6662663525 744409.8281998547, -174594.8555595839 744403.9505757823, -174575.19592044535 744409.4228464704, -174576.81733398253 744414.4897637741, -174540.33552939555 744424.4209216895, -174536.4846722447 744408.6121397018, -174641.06584539407 744380.541417839, -174645.47406344835 744397.1609065953))"
,"POLYGON ((-174696.95394325437 744518.5135760213, -174675.19997829694 744524.0534056068, -174671.95715122254 744510.5416261301, -174678.44280537133 744508.5148592086, -174675.06486050217 744494.5977263476, -174668.4440885586 744495.9489042953, -174665.74173266327 744486.6257764564, -174685.33381290443 744481.4913002553, -174686.54987305735 744486.0853052774, -174690.19805351604 744485.2745985087, -174692.90040941138 744498.2459068063, -174691.41411366893 744498.5161423959, -174696.95394325437 744518.5135760213))"
,"POLYGON ((-174674.27104345785 744520.8105785324, -174663.02248704355 744523.6818316712, -174660.64103591078 744515.8449995747, -174672.14293819029 744512.9061875385, -174674.27104345785 744520.8105785324))"
F A Kuffor Building,"POLYGON ((-174598.95976259996 744650.472992337, -174587.74498563434 744652.4997592585, -174581.3944492803 744616.0179546715, -174579.23256456404 744616.1530724663, -174578.01650441115 744609.5323005227, -174589.23128137676 744608.0460047802, -174589.5015169663 744612.5048920076, -174591.9336372721 744612.3697742128, -174598.95976259996 744650.472992337))"
Physics Block,"POLYGON ((-174577.07067984785 744649.5271677737, -174523.29379753082 744660.4717091497, -174521.94261958313 744647.2301652626, -174549.77688530507 744641.5552178824, -174537.61628377606 744571.8344357829, -174549.236414126 744572.1046713723, -174554.37089032712 744594.8044608932, -174564.0993715503 744591.8318694083, -174566.53149185612 744604.5329421164, -174555.7220682748 744603.1817641687, -174561.53213344968 744632.5023256331, -174557.61371740143 744632.3672078383, -174557.883952991 744633.4481501965, -174559.64048432294 744639.7986865505, -174575.1790307211 744636.9612128604, -174577.07067984785 744649.5271677737))"
Obesse Jeckty,"POLYGON ((-174600.58117613732 744715.5322105169, -174587.40719114756 744718.3021253096, -174586.8667199685 744716.7482706698, -174579.9757124354 744717.6940952331, -174578.96232897465 744710.8030877, -174567.3421986247 744712.4920601347, -174565.8559028823 744699.5883107344, -174566.53149185612 744699.5207518371, -174566.2612562666 744695.6698946862, -174574.43588284997 744694.926746815, -174574.2332061578 744692.291949817, -174572.54423372322 744692.291949817, -174569.97699562265 744678.7801703403, -174583.69145179147 744676.7534034188, -174583.75901068887 744678.2396991613, -174586.25868989204 744677.7667868796, -174587.33963225016 744686.6170024368, -174590.58245932456 744686.2792079499, -174590.17710594027 744684.3875588232, -174604.83738667244 744681.8203207226, -174607.13438918348 744694.7916290202, -174606.05344682536 744695.8050124809, -174606.45880020966 744698.2371327868, -174598.08149693412 744699.9261052214, -174600.58117613732 744715.5322105169))"
Casely Hayford/ Destiny Hall,"POLYGON ((-174579.68858712184 744833.9426899616, -174549.20601262237 744833.4562659004, -174549.16547728394 744837.3476583897, -174536.7616637243 744837.1855170358, -174536.27523966314 744833.3751952233, -174506.27908922482 744832.8887711621, -174506.1169478711 744820.8903109868, -174512.19724863564 744820.80924031, -174512.4404606662 744818.6203320348, -174504.65767568763 744819.3499681265, -174504.57660501075 744806.8650838899, -174510.65690577528 744806.5408011825, -174512.6836726968 744806.7840132131, -174512.52153134308 744804.7572462916, -174506.44123057855 744804.5951049379, -174506.6641749398 744792.6371801012, -174536.74139605515 744793.0425334856, -174536.90353740889 744788.4215049045, -174550.03698706033 744788.9889996424, -174549.95591638348 744793.366816193, -174580.1142081757 744793.6910989004, -174579.78992546827 744805.6895590757, -174574.114978088 744805.2031350146, -174574.114978088 744807.4731139668, -174581.41133900548 744807.310972613, -174581.57348035922 744819.4715741421, -174578.81707734594 744819.9579982033, -174579.68858712184 744833.9426899616))"
,"POLYGON ((-174268.08330677295 745154.5620161947, -174279.45346920268 745161.371953051, -174268.87374587235 745177.849568123, -174266.62403458945 745177.3631440618, -174265.52958045184 745177.9711741382, -174262.0030060084 745176.0862809012, -174262.97585413072 745174.3837966871, -174257.74679547318 745170.6140102131, -174268.08330677295 745154.5620161947))"
Lab 1,"POLYGON ((-174258.11161351905 745148.0560943766, -174244.9781638676 745170.3099951749, -174245.34298191348 745170.6140102131, -174247.28867815813 745171.5260553278, -174252.7001458386 745175.1134327789, -174248.0183142499 745182.5922027193, -174234.09442549903 745174.3837966871, -174244.55254281408 745157.1765455235, -174243.3364826612 745156.6293184547, -174238.53304505718 745164.2296944103, -174227.16288262745 745157.237348531, -174234.1552285067 745146.4144131702, -174246.37663304346 745154.3188041641, -174252.3961308004 745144.3471109102, -174258.11161351905 745148.0560943766))"
J.Q. K. Owusu Complex,"POLYGON ((-174204.20214686642 744973.8592776635, -174189.731031047 744981.1556385808, -174174.0438550747 744981.3988506114, -174174.40867312058 744963.2795543333, -174203.95893483583 744963.157948318, -174204.20214686642 744973.8592776635))"
J.Q. K. Owusu Complex,"POLYGON ((-174173.13180996 744987.5399543835, -174166.07866107326 744987.6007573912, -174166.50428212676 744965.5900686238, -174173.55743101353 744965.5292656162, -174173.13180996 744987.5399543835))"
Faculty Of Resource Technology,"POLYGON ((-174152.3675828496 744904.9542692504, -174151.75955277318 744924.1680196661, -174150.72590164322 744929.4578813312, -174149.93546254383 744929.3362753158, -174149.8746595362 744930.1267144153, -174137.5012474805 744930.2787219342, -174137.56205048817 744929.0626617813, -174136.22438431997 744929.1538662928, -174135.43394522063 744923.2559745515, -174135.58595273987 744904.8022617315, -174152.3675828496 744904.9542692504))"
Biotechnology Lab,"POLYGON ((-174411.10338131385 744865.8693358992, -174403.21419107207 744866.0061426664, -174402.94057753767 744870.7487772626, -174396.6018639908 744870.6119704954, -174396.1914436892 744866.1429494336, -174388.66707149326 744866.0973471779, -174388.5758669818 744855.7912373822, -174396.3282504564 744855.7000328708, -174396.23704594493 744852.9638975268, -174403.94382716378 744852.7814885039, -174404.08063393098 744855.836839638, -174411.10338131385 744855.654430615, -174411.10338131385 744865.8693358992))"
Evans Anfom Auditorium,"POLYGON ((-174387.75502637855 744849.4069215797, -174387.3218049491 744868.0354430465, -174391.4716102208 744868.2634543251, -174391.3348034536 744875.5142129867, -174377.15250192067 744875.5598152424, -174377.12970079278 744867.7618295121, -174377.95054139596 744867.6706250006, -174378.40656395332 744848.9508990224, -174387.75502637855 744849.4069215797))"
Natu 1(Natural Resource),"POLYGON ((-174418.49094674256 744802.4822004305, -174411.0121768024 744802.6190071977, -174411.10338131388 744772.3391093911, -174404.2630429539 744771.837484578, -174404.2630429539 744784.4237071603, -174389.30550307353 744784.7885252062, -174389.30550307353 744750.6780379179, -174404.99267904565 744750.6780379179, -174404.81027002272 744765.2707597525, -174443.20736934975 744765.179555241, -174443.6633919071 744785.8829793438, -174431.07716932482 744786.4302064126, -174431.4419873707 744779.9546860985, -174433.90450918025 744779.5898680526, -174434.26932722612 744772.4759161583, -174418.39974223106 744772.7495296927, -174418.49094674256 744802.4822004305))"
L. I. Andoh Block,"POLYGON ((-174210.67291694498 744801.8295181461, -174197.49671517918 744801.8166925116, -174197.29150502838 744800.2263138429, -174194.26465530414 744800.1237087676, -174194.46986545494 744791.8126976603, -174192.21255379615 744791.8126976603, -174192.10994872075 744793.2491687159, -174178.87389399429 744793.2491687159, -174179.0791041451 744780.2183241402, -174180.46427266297 744780.179847237, -174180.3616675875 744776.6912746734, -174187.08230002614 744776.4091107161, -174186.9540436819 744773.0487944968, -174186.51797211147 744773.1000970345, -174186.6975309934 744762.4548204618, -174187.49272032775 744762.5317742684, -174187.49272032775 744761.1722570193, -174187.8774893605 744761.1979082882, -174200.4722623657 744761.1722570193, -174200.3696572903 744762.3009128488, -174207.26984861091 744762.3778666554, -174207.26984861091 744769.1498016316, -174219.2233398949 744769.2011041694, -174219.377247508 744782.3345538204, -174217.71846545572 744782.4029572039, -174217.92367560652 744785.7205213085, -174209.7494712664 744785.6863196167, -174209.475857732 744788.4566566525, -174210.70711863678 744788.5250600361, -174210.67291694498 744801.8295181461))"
Washroom,"POLYGON ((-174125.44230098033 744713.3454662495, -174124.31364515092 744706.6248338108, -174138.2166328675 744703.9571018504, -174139.24268362147 744710.5751292137, -174125.44230098033 744713.3454662495))"
College of Engineering Study Tent,"POLYGON ((-174178.74563764993 744592.5450908128, -174115.13049090258 744604.6524897099, -174114.61746552557 744598.496185186, -174177.30916659435 744585.4653406102, -174178.74563764993 744592.5450908128))"
,"POLYGON ((-174129.70041160914 744650.5169584134, -174112.6679690929 744653.2872954492, -174111.12889296192 744642.5137625323, -174127.44309995038 744638.9225848933, -174129.28999130754 744644.1554437387, -174129.70041160914 744650.5169584134))"
BT Offices,"POLYGON ((-174221.83976931754 744629.0724976546, -174192.05864618302 744634.9979407592, -174191.13520050445 744629.7650819138, -174192.26385633383 744628.9442413106, -174191.95604110762 744624.4296179931, -174220.22373938002 744619.2480616852, -174221.83976931754 744629.0724976546))"
Owusu-Addo Building,"POLYGON ((-174241.71950267634 744682.4014855933, -174208.98848362407 744688.5577901172, -174207.24419734225 744678.8103079543, -174208.16764302086 744678.5024927282, -174207.55201256846 744675.5269455416, -174214.4265526202 744673.8852643352, -174214.5291576956 744675.0139201646, -174239.05177071595 744670.7045069978, -174239.25698086675 744672.8592135812, -174239.87261131915 744672.8592135812, -174241.71950267634 744682.4014855933))"
Wascal Building,"POLYGON ((-174258.30168826145 744434.7635549991, -174275.0697098717 744431.5066892633, -174277.16571257298 744443.8892282986, -174268.00779307814 744445.5337842642, -174267.36286917006 744443.2765505859, -174267.16939199765 744443.3732891721, -174268.2980088368 744449.0163733679, -174259.14008934196 744450.3707135748, -174258.36618065226 744444.9211065515, -174257.56002576716 744444.9855989424, -174257.97922630742 744447.3718174023, -174249.07927637582 744448.9841271725, -174247.17675084696 744436.5370957464, -174258.30168826145 744434.7635549991))"
Transport Research and Education Center,"POLYGON ((-174296.384445034 744442.1479337469, -174287.5489874932 744444.0827054711, -174283.55045926306 744424.606003447, -174293.22431788436 744423.1226784583, -174296.384445034 744442.1479337469))"
Rabbit House,"POLYGON ((-174315.4097003226 744520.15148043, -174298.44820153996 744523.569577143, -174296.31995264324 744514.798611993, -174314.18434489725 744511.5739924526, -174315.4097003226 744520.15148043))"
Engineering Labs,"POLYGON ((-174449.52162700938 744430.8295191604, -174337.30486700236 744451.4025918283, -174332.91938442737 744428.9592398269, -174334.08024746194 744428.9592398269, -174334.08024746194 744424.9607115968, -174336.40197353103 744424.186802907, -174336.91791265752 744428.572285482, -174337.94979091044 744427.9273615739, -174337.5628365656 744422.510000746, -174345.172938681 744420.1882746769, -174347.2366951869 744426.7664985394, -174365.55253417653 744422.6389855276, -174364.5206559236 744416.0607616651, -174385.80314489047 744411.5462943085, -174386.64154597098 744419.3498735965, -174387.09299270666 744422.8969550909, -174395.09004916693 744421.4781224931, -174394.63860243125 744417.7375638263, -174445.52309877926 744407.6122584693, -174449.52162700938 744430.8295191604))"
,"POLYGON ((-174465.22552417126 744399.7119405952, -174453.48790904408 744402.807575354, -174452.19806122791 744394.4235645488, -174463.9356763551 744392.1018384797, -174465.22552417126 744399.7119405952))"
,"POLYGON ((-174454.9712340326 744610.5375661489, -174403.5063061673 744619.8244704254, -174401.44254966144 744607.4419313901, -174452.90747752672 744597.6390879871, -174454.9712340326 744610.5375661489))"
Coke Stand,"POLYGON ((-174353.20224133675 744665.4205907276, -174347.4624185548 744674.5785102224, -174337.98203710592 744667.8068091875, -174343.8508446695 744658.519904911, -174353.20224133675 744665.4205907276))"
New Engineering Block,"POLYGON ((-174159.54771483605 744473.9749286127, -174159.74119200846 744473.3300047044, -174163.48175067536 744493.0646762919, -174166.57738543418 744492.8067067286, -174168.41541857223 744501.835641442, -174160.28937733034 744503.3189664306, -174160.38611591654 744505.189245764, -174150.16407197338 744507.2207560745, -174149.90610241014 744505.7051848904, -174141.61883019126 744507.3819870516, -174140.45796715672 744498.7400066832, -174142.6507084442 744497.9660979935, -174138.9101497773 744478.1024416244, -174159.54771483605 744473.9749286127))"
